,Name,Type,Cost,Color,Rarity,Quality,Price,Set,Description
4386,Scion of Oona,1/1 Creature - Faerie Soldier ,3,U,R,EX,6.79,Lorwyn,FlashFlyingOther Faerie creatures you control get +1/+1.Other Faeries you control have shroud. 
4387,Sign in Blood,Sorcery,2,BB,C,EX,0.55,2015 Core Set, Target player draws two cards and loses 2 life.
4388,"Liliana, the Last Hope",Legendary Planeswalker - Liliana,3,BB,M,NM,64.99,Masterpiece Series: Mythic Edition,"[+1]: Up to one target creature gets -2/-1 until your next turn.[-2]: Mill two cards, then you may return a creature card from your graveyard to your hand.[-7]: You get an emblem with ""At the beginning of your end step, put X 2/2 black Zombie creature tokens onto the battlefield, where X is two plus the number of Zombies you control.""|3|"
4389,Mesa Pegasus,1/1 Creature - Pegasus,2,W,C,EX,51.99,Alpha,Flying; banding 
4390,Forest (Arena 1996),Basic Land - Forest,0,,S,EX,11.99,Promotional,
4391,Bribery (Non-Foil),Sorcery,5,UU,R,NM,14.99,Secret Lair,Search target opponent’s library for a creature card and put that card onto the battlefield under your control. Then that player shuffles their library.
4392,Birds of Paradise,0/1 Creature - Bird,1,G,R,NM,14.99,5th Edition,Flying{T}: Add one mana of any color.
4393,Forest (243 - Foil),Basic Land - Forest,0,,R,NM,12.99,Secret Lair,
4394,Bloodthirsty Adversary (Extended Art),2/2 Creature - Vampire,2,R,M,NM,7.49,Innistrad: Midnight Hunt Variants,"HasteWhen Bloodthirsty Adversary enters the battlefield, you may pay {2}{R} any number of times. When you pay this cost one or more times, put that many +1/+1 counters on Bloodthirsty Adversary, then exile up to that many target instant and/or sorcery cards with mana value 3 or less from your graveyard and copy them. You may cast any number of the copies without paying their mana costs."
4395,Poppet Stitcher (Extended Art),2/3 Creature - Human Wizard,3,U,M,NM,7.49,Innistrad: Midnight Hunt Variants,"Whenever you cast an instant or sorcery spell, create a 2/2 black Zombie creature token with decayed. At the beginning of your upkeep, if you control three or more creature tokens, you may transform Poppet Stitcher.Poppet FactoryArtifactCreature tokens you control lose all abilities and have base power and toughness 3/3.At the beginning of your upkeep, you may transform Poppet Factory."
4396,Dragonlord Dromoka,5/7 Legendary Creature - Elder Dragon,6,GW,M,NM,6.49,Double Masters 2022,"Dragonlord Dromoka can't be countered.Flying, lifelinkYour opponent can't cast spells during your turn."
4397,Svyelun of Sea and Sky (Borderless),3/4 Legendary Creature - Merfolk God,3,UU,M,NM,6.49,Modern Horizons 2 Variants,"Svyelun of Sea of Sky has indestructible as long as you control at least two other Merfolk.Whenever Svyelun attacks, draw a card.Other Merfolk you control have ward {1}."
4398,Birds of Paradise (Seattle 1998 (Brian Selden) - Not Tournament Legal),0/1 Creature - Bird,1,G,R,NM,6.49,World Championships,Flying{T}: Add one mana of any color.
4399,Equilibrium,Enchantment,3,UU,R,EX,5.19,Exodus,"Whenever you cast a creature spell, you may pay {1}. If you do, return target creature to its owner's hand."
4400,Urza's Bauble,Artifact,0,,U,VG,4.54,5th Edition,"{T}, Sacrifice Urza's Bauble: Look at a card at random in target player's hand. You draw a card at the beginning of the next turn's upkeep."
4401,Aspect of Mongoose,Enchantment - Aura,2,G,U,NM,2.29,Time Spiral,"Enchant creatureEnchanted creature has shroud. When Aspect of Mongoose is put into a graveyard from the battlefield, return Aspect of Mongoose to its owner's hand."
4402,Cyberdrive Awakener (Extended Art),4/4 Artifact Creature - Construct,6,U,R,NM,4.99,Kamigawa: Neon Dynasty Commander Decks Variants,"FlyingOther artifact creatures you control have flying.When Cyberdrive Awakener enters the battlefield, until end of turn, each noncreature artifact you control becomes an artifact creature with base power and toughness 4/4."
4403,Scout's Warning,Instant,1,W,R,NM,4.99,Future Sight,The next creature card you cast this turn can be played as though it had flash.Draw a card.
4404,God-Eternal Kefnet,4/5 Legendary Creature - Zombie God,4,UU,M,NM,2.99,War of the Spark,"FlyingYou may reveal the first card you draw each turn as you draw it. Whenever you reveal an instant or sorcery card this way, copy that card and you may cast the copy. That copy costs {2} less to cast.When God-Eternal Kefnet dies or is put into exile from the battlefield, you may put it into its owner's library third from the top."
4405,Sol Ring (249),Artifact,1,,U,NM,2.49,"Universes Beyond: Warhammer 40,000",{T}: Add {C}{C}.
4406,Goblin Charbelcher (Schematic Art),Artifact,4,,R,NM,1.49,The Brothers' War Retro Artifacts,"{3}, {T}: Reveal cards from the top of your library until you reveal a land card. Goblin Charbelcher deals damage equal to the number of nonland cards revealed this way to any target. If the revealed land card was a Mountain, Goblin Charbelcher deals double that damage instead. Put the revealed cards on the bottom of your library in any order."
4407,Reckoner's Bargain,Instant,2,B,C,NM,0.59,Kamigawa: Neon Dynasty,"As an additional cost to cast this spell, sacrifice an artifact or creature.You gain life equal to the sacrificed permanent's mana value. Draw two cards."
4408,Tormod's Crypt,Artifact,0,,C,NM,1.29,Chronicles,"{T}, Sacrifice Tormod's Crypt: Exile target player's graveyard."
4409,Price of Progress,Instant,2,R,U,NM,4.49,Exodus,Price of Progress deals damage to each player equal to twice the number of nonbasic lands that player controls.
4410,Evacuation,Instant,5,UU,R,EX,3.59,Stronghold,Return all creatures to their owners' hands.
4411,Chaos Warp,Instant,3,R,M,NM,4.49,Strixhaven Mystical Archive,"The owner of target permanent shuffles it into their library, then reveals the top card of their library. If it’s a permanent card, they put it onto the battlefield."
4412,Dragonlord Silumgar,3/5 Legendary Creature - Elder Dragon,6,UB,M,NM,4.49,Dragons of Tarkir,"Flying, deathtouchWhen Dragonlord Silumgar enters the battlefield, gain control of target creature or planeswalker for as long as you control Dragonlord Silumgar."
4413,Mortal Combat,Enchantment,4,BB,R,NM,4.49,Torment,"At the beginning of your upkeep, if twenty or more creature cards are in your graveyard, you win the game."
4414,Cultivate,Sorcery,3,G,C,NM,0.99,"Universes Beyond: Warhammer 40,000","Search your library for up to two basic land cards, reveal those cards, and put one onto the battlefield tapped and the other into your hand, then shuffle."
4415,Peregrine Drake,2/3 Creature - Drake,5,U,U,EX,2.23,Urza's Saga,"FlyingWhen Peregrine Drake enters the battlefield, untap up to five lands."
4416,Fellwar Stone,Artifact,2,,U,EX,2.23,4th Edition,{T}: Add one mana of any color that a land an opponent controls could produce.
4417,Scourge of Valkas,4/4 Creature - Dragon,5,RRR,M,NM,2.29,Adventures in the Forgotten Realms Commander Decks,"FlyingWhenever Scourge of Valkas or another Dragon enters the battlefield under your control, it deals X damage to any target, where X is the number of Dragons you control.{R}: Scourge of Valkas gets +1/+0 until end of turn."
4418,Bountiful Promenade (Extended Art),Land,0,,R,NM,5.49,Commander Legends: Battle for Baldur's Gate Variants,Bountiful Promenade enters the battlefield tapped unless you have two or more opponents.{T}: Add {G} or {W}
4419,Disciple of the Vault,1/1 Creature - Human Cleric,1,B,C,EX,0.79,Mirrodin,"Whenever an artifact is put into a graveyard from the battlefield, you may have target opponent lose 1 life."
4420,Kazuul's Fury,Instant,3,R,U,NM,0.99,Zendikar Rising,"As an additional cost to cast this spell, sacrifice a creature.Kazuul's Fury deals damage equal to the sacrificed creature's power to any target.Kazuul's CliffsLandKazuul's Cliffs enters the battlefield tapped.{T}: Add {R}."
4421,Sorin Markov,Legendary Planeswalker - Sorin,6,BBB,M,NM,47.99,Masterpiece Series: Mythic Edition,[+2]: Sorin Markov deals 2 damage to any target and you gain 2 life.[-3]: Target opponent's life total becomes 10.[-7]: You control target player during that player's next turn.|4|
4422,Ponder, Sorcery,1,U,C,NM,3.49,Streets of New Capenna Commander Decks,"Look at the top three cards of your library, then put them back in any order. You may shuffle.Draw a card."
4423,Aura of Silence,Enchantment,3,WW,U,NM,3.49,Mystery Booster/The List,Artifact and enchantment spells your opponents cast cost {2} more to cast.Sacrifice Aura of Silence: Destroy target artifact or enchantment.
4424,Beast Within (Foil),Instant,3,G,R,NM,23.99,Secret Lair,Destroy target permanent. Its controller creates a 3/3 green Beast creature token.
4425,Urza's Tower,Land - Urza's Tower,0,,R,NM,23.99,Double Masters Box Toppers,"{T}: Add {C}. If you control an Urza's Mine and an Urza's Power-Plant, add {C}{C}{C} instead."
4426,Seedborn Muse,2/4 Creature - Spirit,5,GG,R,NM,15.99,Battlebond,Untap all permanents you control during each other player's untap step.
4427,"Mangara, the Diplomat (Prerelease Foil)",2/4 Legendary Creature - Human Cleric,4,W,M,NM,15.99,Promotional,"LifelinkWhenever an opponent attacks with creatures, if two or more of those creatures are attacking you and/or planeswalkers you control, draw a card.Whenever an opponent casts their second spell each turn, draw a card."
4428,Might Sliver (Foil),2/2 Creature - Sliver,5,G,R,NM,15.99,Secret Lair,All Sliver creatures get +2/+2.
4429,Darkslick Shores,Land,0,,M,NM,11.99,Zendikar Rising Expeditions,Darkslick Shores enters the battlefield tapped unless you control two or fewer other lands.{T}: Add {U} or {B} to your mana pool.
4430,Doomsday,Sorcery,3,BBB,M,NM,11.99,Masters 25,"Search your library and graveyard for five cards and exile the rest. Put the chosen cards on top of your library in any order. You lose half your life, rounded up."
4431,Blightstep Pathway (Foil),Land,0,,R,NM,11.99,Secret Lair,{T}: Add {B}.Searstep PathwayLand{T}: Add {R}.
4432,Sinkhole,Sorcery,2,BB,R,NM,7.99,Eternal Masters,Destroy target land.
4433,Skyshroud Poacher,2/2 Creature - Human Rebel,4,GG,R,EX,6.39,Nemesis,"{3}, {T}: Search your library for an Elf permanent card and put that card onto the battlefield. Then shuffle your library."
4434,Vampire Nocturnus,3/3 Creature - Vampire,4,BBB,M,EX,6.39,2013 Core Set,"Play with the top card of your library revealed.As long as the top card of your library is black, Vampire Nocturnus and other Vampire creatures you control get +2/+1 and have flying."
4435,Idyllic Tutor (Foil),Sorcery,3,W,R,NM,7.99,Secret Lair,"Search your library for an enchantment card, reveal it, put it into your hand, then shuffle your library."
4436,Blatant Thievery,Sorcery,7,UUU,R,NM,5.99,Commander 2015,"For each opponent, gain control of target permanent that player controls."
4437,Goblin King,2/2 Creature - Goblin,3,RR,R,EX,4.79,7th Edition,Other Goblin creatures get +1/+1 and have mountainwalk. 
4438,Reckoner Bankbuster (Extended Art),4/4 Artifact - Vehicle,2,,R,NM,3.99,Kamigawa: Neon Dynasty Variants,"Reckoning Bankbuster enters the battlefield with three charge counters on it.{2}, {T}, Remove a charge counter from Reckoner Bankbuster: Draw a card. Then if there are no charge counters on Reckoner Bankbuster, create a Treasure token and a 1/1 colorless Pilot creature token with ""This creature crews Vehicles as though its power were 2 greater.""Crew 3"
4439,Tainted Adversary,2/3 Creature - Zombie,2,B,M,NM,3.99,Innistrad: Midnight Hunt,"DeathtouchWhen Tainted Adversary enters the battlefield, you may pay {2}{B} any number of times. When you pay this cost one or more times, put that many +1/+1 counters on Tainted Adversary, then create twice that many 2/2 black Zombie creature tokens with decayed. "
4440,Approach of the Second Sun,Sorcery,7,W,M,NM,3.99,Strixhaven Mystical Archive,"If this spell was cast from your hand and you’ve cast another spell named Approach of the Second Sun this game, you win the game. Otherwise, put Approach of the Second Sun into its owner’s library seventh from the top and you gain 7 life."
4441,Wirewood Symbiote,1/1 Creature - Insect,1,G,U,EX,3.19,Scourge,Return an Elf you control to its owner's hand: Untap target creature. Activate this ability only once each turn.
4442,"Vona, Butcher of Magan",4/4 Legendary Creature - Vampire Knight,5,WB,M,NM,3.99,Ixalan,"Vigilance, lifelink{T}, Pay 7 life: Destroy target nonland permanent. Activate this ability only during your turn."
4443,Hell's Caretaker,1/1 Creature - Horror,4,B,R,NM,3.99,Masters 25,"{T}, Sacrifice a creature: Return target creature card from your graveyard to the battlefield. Activate this ability only during your upkeep."
4444,Sanctum Prelate (Buy-a-Box Foil),2/2 Creature - Human Cleric,3,WW,M,NM,2.99,Promotional,"As Sanctum Prelate enters the battlefield, choose a number.Noncreature spells with converted mana cost equal to the chosen number can't be cast."
4445,Beast Within,Instant,3,G,U,EX,2.39,New Phyrexia,Destroy target permanent. Its controller puts a 3/3 green Beast creature token onto the battlefield.
4446,"Trostani, Selesnya's Voice",2/5 Legendary Creature - Dryad,4,GGWW,M,NM,2.99,Return to Ravnica,"Whenever another creature enters the battlefield under your control, you gain life equal to that creature's toughness.{1}{G}{W}, {T}: Populate. "
4447,Ornithopter of Paradise (Retro Frame),0/2 Artifact Creature - Thopter,2,,C,NM,0.99,Modern Horizons 2 Variants,Flying{T}: Add one mana of any color.
4448,Urabrask the Hidden,4/4 Legendary Creature - Phyrexian Praetor,5,RR,M,NM,1.99,Commander Legends: Battle for Baldur's Gate,Creatures you control have haste.Creatures your opponents control enter the battlefield tapped.
4449,Clown Car,1/1 Artifact - Vehicle,1,X,R,NM,1.29,Unfinity,"When Clown Car enters the battlefield, roll X six-sided dice. For each odd result, create a 1/1 white Clown Robot artifact creature token. For each even result, put a +1/+1 counter on Clown Car.Crew 2"
4450,Electrickery,Instant,1,R,C,NM,0.59,Return to Ravnica,Electrickery deals 1 damage to target creature you don't control.Overload {1}{R} 
4451,Matter Reshaper,3/2 Creature - Eldrazi,3,C,R,NM,2.29,Oath of the Gatewatch,"When Matter Reshaper dies, reveal the top card of your library. You may put the card onto the battlefield if it's a permanent card with converted mana cost 3 or less. Otherwise, put that card into your hand."
4452,Jade Statue,3/6 Artifact,4,,U,EX,75.99,Beta,{2}: Jade Statue becomes a 3/6 Golem artifact creature until end of combat. Activate this ability only during combat.
4453,"Ugin, the Spirit Dragon",Legendary Planeswalker - Ugin,8,,M,NM,94.99,Masterpiece Series: Mythic Edition,"[+2]: Ugin, the Spirit Dragon deals 3 damage to any target.[-X]: Exile each permanent with converted mana cost X or less that's one or more colors.[-10]: You gain 7 life, draw seven cards, then put up to seven permanent cards from your hand onto the battlefield.|7|"
4454,"Kroxa, Titan of Death's Hunger (Extended Art)",6/6 Legendary Creature - Elder Giant,2,BR,M,NM,37.99,Theros Beyond Death Variants,"When Kroxa enters the battlefield, sacrifice it unless it escaped.Whenever Kroxa enters the battlefield or attacks, each opponent discards a card, then each opponent who didn't discard a nonland card this way loses 3 life.Escape - {B}{B}{R}{R}, Exile five other cards from your graveyard. "
4455,Roc of Kher Ridges,3/3 Creature - Bird,4,R,R,VG,22.79,Unlimited,Flying
4456,Living Wall,0/6 Artifact Creature - Wall,4,,U,G,15.2,Beta,Defender {1}: Regenerate Living Wall.
4457,Rest in Peace (Foil),Enchantment,2,W,R,NM,37.99,Secret Lair,"When Rest in Peace enters the battlefield, exile all graveyards.If a card or token would be put into a graveyard from anywhere, exile it instead."
4458,"Kozilek, the Great Distortion (Non-Foil)",12/12 Legendary Creature - Eldrazi,10,CC,M,NM,18.99,Secret Lair,"When you cast Kozilek, the Great Distortion, if you have less than seven cards in hand, draw cards equal to the difference.MenaceDiscard a card with mana value X: Counter target spell with mana value X."
4459,Sword of Kaldra,Legendary Artifact - Equipment,4,,R,NM,9.99,Mirrodin,"Equipped creature gets +5/+5.Whenever equipped creature deals damage to a creature, exile that creature.Equip {4} "
4460,"Akroma, Angel of Wrath (Foil)",6/6 Legendary Creature - Angel,8,WWW,M,NM,9.99,Secret Lair,"Flying, first strike, vigilance, trample, haste, protection from black and from red."
4461,Grand Crescendo (Extended Art),Instant,3,XWW,R,NM,9.99,Streets of New Capenna Commander Decks Variants,Create X 1/1 green and white Citizen creature tokens. Creatures you control gain indestructible until end of turn.
4462,Cathars' Crusade,Enchantment,5,WW,R,NM,9.99,Commander 2014,"Whenever a creature enters the battlefield under your control, put a +1/+1 counter on each creature you control."
4463,Mountain (242 - Foil),Basic Land - Mountain,0,,R,NM,9.99,Secret Lair,
4464,"Ezuri, Renegade Leader (Foil)",2/2 Legendary Creature - Elf Warrior,3,GG,M,NM,9.99,Duel Decks: Elves Vs. Inventors,{G}: Regenerate another target Elf.{2}{G}{G}{G}: Elf creatures you control get +3/+3 and gain trample until end of turn.
4465,Thousand-Year Elixir,Artifact,3,,R,NM,9.99,Lorwyn,"You may activate abilities of creatures you control as though those creatures had haste.{1}, {T}: Untap target creature."
4466,Swords to Plowshares,Instant,1,W,U,NM,2.79,Iconic Masters,Exile target creature. Its controller gains life equal to its power.
4467,Hypnotic Specter, 2/2 Creature - Specter,3,BB,U,VG,1.95,3rd Edition,"FlyingWhenever Hypnotic Specter deals damage to an opponent, that player discards a card at random."
4468,"Ebondeath, Dracolich",5/2 Legendary Creature - Zombie Dragon,4,BB,M,NM,4.99,Adventures in the Forgotten Realms,"FlashFlyingEbondeath, Dracolich enters the battlefield tapped.You may cast Ebondeath, Dracolich from your graveyard if a creature not named Ebondeath, Dracolich died this turn."
4469,Leyline of Anticipation,Enchantment,4,UU,R,NM,4.99,2011 Core Set,"If Leyline of Anticipation is in your opening hand, you may begin the game with it ont the battlefield.You may cast nonland cards as though they had flash. "
4470,Kaya the Inexorable (Borderless),Legendary Planeswalker - Kaya,5,WB,M,NM,4.99,Kaldheim Variants,"[+1]: Put a ghostform counter on up to one target nontoken creature. It gains ""When this creature dies or is put into exile, return it to its owner's hand and create a 1/1 white Spirit creature token with flying.""[-3]: Exile target nonland permanent.[-7]: You get an emblem with ""At the beginning of your upkeep, you may cast a legendary spell from your hand, from your exile, or from among cards you own in exile without paying its mana cost.""|5|"
4471,Galazeth Prismari,3/4 Legendary Creature - Elder Dragon,4,UR,M,NM,4.99,Strixhaven: School of Mages,"FlyingWhen Galazeth Prismari enters the battlefield, create a Treasure token.Artifacts you control have ""{T}: Add one mana of any color. Spend this mana only to cast an instant or sorcery spell."""
4472,Wall of Kelp,0/3 Creature - Plant Wall,2,UU,R,EX,3.99,Homelands,"Defender {U}{U}, {T}: Put a 0/1 blue Plant Wall creature token with defender named Kelp onto the battlefield."
4473,Voltaic Key,Artifact,1,,U,VG,3.49,Urza's Saga,"{1}, {T}: Untap target artifact."
4474,"Kamahl, Heart of Krosa",5/5 Legendary Creature - Human Druid,8,GG,M,NM,2.49,Commander Legends,"At the beginning of combat on your turn, creatures you control get +3/+3 and gain trample until end of turn.{1}{G}: Until end of turn, target land you control becomes a 1/1 Elemental creature with vigilance, indestructible, and haste. It's still a land.Partner "
4475,Gixian Puppeteer,4/3 Creature - Phyrexian Warlock,4,B,R,NM,0.39,The Brothers' War,"Whenever you draw your second card each turn, each opponent loses 2 life and you gain 2 life.When Gixian Puppeteer dies, return another target creature card with mana value 3 or less from your graveyard to your battlefield."
4476,Otherworld Atlas,Artifact,4,,R,NM,1.99,Avacyn Restored,{T}: Put a charge counter on Otherworld Atlas.{T}: Each player draws a card for each charge counter on Otherworld Atlas.
4477,Wurmcoil Engine,6/6 Artifact Creature - Phyrexian Wurm,6,,M,NM,20.99,Commander 2014,"Deathtouch, lifelinkWhen Wurmcoil Engine dies, put a 3/3 colorless Wurm artifact creature token with deathtouch and a 3/3 colorless Wurm artifact creature token with lifelink onto the battlefield."
4478,Cultivator Colossus,*/* Creature - Plant Beast,7,GGG,M,NM,20.99,Innistrad: Double Feature,"TrampleCultivator Colossus's power and toughness are each equal to the number of lands you control.When Cultivator Colossus enters the battlefield, you may put a land card from your hand onto the battlefield tapped. If you do, draw a card and repeat this process."
4479,Entomb (Berlin 2003 (Peer Kroger) - Not Tournament Legal),Instant,1,B,R,NM,20.99,World Championships, Search your library for a card and put that card into your graveyard. Then shuffle your library.
4480,Natural Order,Sorcery,4,GG,R,EX,17.84,Portal,"As an additional cost to cast Natural Order, sacrifice a green creature.Search your library for a green creature card and put it onto the battlefield. Then shuffle your library."
4481,The World Tree (Extended Art),Land,0,,R,NM,8.99,Kaldheim Variants,"The World Tree enters the battlefield tapped.{T}: Add {G}.As long as you control six or more lands, lands you control have ""{T}: Add one mana of any color.""{W}{W}{U}{U}{B}{B}{R}{R}{G}{G}, {T}, Sacrifice The World Tree: Search your library for any number of God cards, put them onto the battlefield, then shuffle your library."
4482,"Urabrask, Heretic Praetor (Phyrexian)",4/4 Legendary Creature - Phyrexian Praetor,5,RR,M,NM,8.99,Streets of New Capenna Variants,"HasteAt the beginning of your upkeep, exile the top card of your library. You may play it this turn.At the beginning of each opponent's upkeep, the next time they would draw a card this turn, instead they exile the top card of their library. They may play it this turn."
4483,Sundown Pass,Land,0,,R,NM,8.99,Innistrad: Double Feature,Sundown Pass enters the battlefield tapped unless you control two or more other lands.{T}: Add {R} or {W}.
4484,Kindred Discovery (Extended Art),Enchantment,5,UU,R,NM,6.99,Commander Legends: Battle for Baldur's Gate Variants,"As Kindred Discovery enters the battlefield, choose a creature type.Whenever a creature you control of the chosen type enters the battlefield or attacks, draw a card."
4485,Pattern of Rebirth,Enchantment - Aura,4,G,R,NM,4.49,Ultimate Masters,"Enchant creatureWhen enchanted creature dies, that creature's controller may search their library for a creature card, put that card onto the battlefield, then shuffle their library."
4486,Force Spike,Instant,1,U,C,EX,2.79,Legends,Counter target spell unless its controller pays {1}.
4487,Rockfall Vale (Borderless),Land,0,,R,NM,3.49,Innistrad: Midnight Hunt Variants,Rockfall Vale enters the battlefield tapped unless you control two or more lands.{T}: Add {R} or {G}.
4488,Sterling Grove,Enchantment,2,GW,U,NM,3.49,Invasion,"Other enchantments you control have shroud. {1}, Sacrifice Sterling Grove: Search your library for an enchantment card and reveal that card. Shuffle your library, then put the card on top of it."
4489,March of Otherworldly Light (Showcase),Instant,2,XW,R,NM,2.99,Kamigawa: Neon Dynasty Variants,"As an additional cost to cast this spell, you may exile any number of white cards from your hand. This spell costs {2} less to cast for each card exiled this way.Exile target artifact, creature, or enchantment with mana value X or less."
4490,Nacatl War-Pride,3/3 Creature - Cat Warrior,6,GGG,U,NM,2.99,Future Sight,"Nacatl War-Pride must be blocked by exactly one creature if able.Whenever Nacatl War-Pride attacks, put X tokens that are copies of Nacatl War-Pride onto the battlefield tapped and attacking, where X is the number of creatures defending player controls. Exile the tokens at the beginning of the next end step."
4491,Izzet Signet,Artifact,2,,C,NM,1.29,Guildpact,"{1}, {T}: Add {U}{R} to your mana pool."
4492,Cliffhaven Vampire,2/4 Creature - Vampire Warrior Ally,4,WB,U,NM,1.29,Oath of the Gatewatch,"FlyingWhenever you gain life, each opponent loses 1 life."
4493,Leyline of Sanctity,Enchantment,4,WW,R,NM,6.49,Modern Masters 2015,"If Leyline of Sanctity is in your opening hand, you may begin the game with it on the battlefield.You have hexproof. "
4494,Bountiful Promenade,Land,0,,M,NM,6.49,Zendikar Rising Expeditions,Bountiful Promenade enters the battlefield tapped unless you have two or more opponents.{T}: Add {G} or {W}
4495,Hellrider,3/3 Creature - Devil,4,RR,R,NM,1.79,Dark Ascension,"HasteWhenever a creature you control attacks, Hellrider deals 1 damage to defending player."
4496,Vineglimmer Snarl,Land,0,,R,NM,1.79,Strixhaven: School of Mages,"As Vineglimmer Snarl enters the battlefield, you may reveal an Forest or Island card from your hand. If you don't, Vineglimmer Snarl enters the battlefield tapped.{T}: Add {G} or {U}."
4497,"Gwenna, Eyes of Gaea (Extended Art)",2/3 Legendary Creature - Elf Druid Scout,3,G,R,NM,2.29,The Brothers' War Variants,"{T}: Add two mana in any combination of colors. Spend this mana only to cast creature spells or activate abilities of a creature or creature card.Whenever you cast a creature spell with power 5 or greater, put a +1/+1 counter on Gwenna, Eyes of Gaea and untap it."
4498,Venom Sliver,1/1 Creature - Sliver,2,G,U,NM,2.29,2015 Core Set,Sliver creatures you control have deathtouch. 
4499,Contract from Below,Sorcery,1,B,R,EX,3.19,3rd Edition,"Remove Contract from Below from your deck before playing if you're not playing for ante.Discard your hand, add the top card of your library to the ante, then draw seven cards."
4500,Unnatural Growth,Enchantment,5,GGGG,R,NM,7.49,Innistrad: Double Feature,"At the beginning of each combat, double the power and toughness of each creature you control until end of turn."
4501,Avacyn's Memorial (Extended Art),Legendary Artifact,8,WWW,M,NM,7.49,Innistrad: Midnight Hunt Commander Decks Variants,IndestructibleOther legendary permanents you control have indestructible.
4502,Drossforge Bridge,Artifact Land,0,,C,NM,0.79,The Brothers' War Commander Decks,Drossforge Bridge enters the battlefield tapped.Indestructible{T}: Add {B} or {R}.
4503,Felidar Retreat, Enchantment,4,W,R,NM,1.99,Streets of New Capenna Commander Decks," - Whenever a land enters the battlefield under your control, choose one -"
4504,Bard Class,Enchantment - Class,2,RG,R,NM,1.99,Adventures in the Forgotten Realms,"Legendary creatures you control enter the battlefield with an additional +1/+1 counter on them.{R}{G}: Legendary spells you cast cost {R}{G} less to cast. This effect reduces only the amount of colored mana you pay.{3}{R}{G}: Whenever you cast a legendary spell, exile the top two cards of your library. You may play them this turn."
4505,"Yavimaya, Cradle of Growth (Foil Etched Retro Frame)",Legendary Land,0,,R,NM,16.99,Modern Horizons 2 Variants,Each land is a Forest in addition to its other land types.
4506,Elvish Reclaimer (Prerelease Foil),1/2 Creature - Elf Warrior,1,G,R,NM,16.99,Promotional," Elvish Reclaimer gets +2/+2 as long as there are three or more land cards in your graveyard.{2}, {T}, Sacrifice a land: search your library for a land card, put it onto the battlefield tapped, then shuffle your library."
4507,Kaito Shizuki (Showcase),Legendary Planeswalker - Kaito,3,UB,M,NM,16.99,Kamigawa: Neon Dynasty Variants,"At the beginning of your end step, if Kaito Shizuki entered the battlefield this turn, he phases out.[+1]: Draw a card. Then discard a card unless you attacked this turn.[-2]: Create a 1/1 blue Ninja creature token with ""This creature can't be blocked.""[-7]: You get an emblem with ""Whenever a creature you control deals combat damage to a player, search your library for a blue or black creature, put it onto the battlefield, then shuffle.""|3|"
4508,Protean Hulk (Foil Etched),6/6 Creature - Beast,7,GG,R,NM,16.99,Secret Lair,"When Protean Hulk dies, search your library for any number of creature cards with total converted mana cost 6 or less and put them onto the battlefield. Then shuffle your library."
4509,Urza's Tower (Shore),Land - Urza's Tower,0,,C,VG,11.89,Antiquities,"{T}: Add {1}. If you control an Urza's Mine and an Urza's Power-Plant, add {3} instead."
4510,Urza's Power Plant (Pot),Land - Urza's Power-Plant,0,,C,EX,8.79,Antiquities,"{T}: Add {1} to your mana pool. If you control an Urza's Mine and an Urza's Tower, add {2} to your mana pool instead."
4511,"Tezzeret, Betrayer of Flesh (Foil Etched)",Legendary Planeswalker - Tezzeret,4,UU,M,EX,8.79,Kamigawa: Neon Dynasty Variants,"The first activated ability of an artifact you activate each turn costs {2} less to activate.[+1]: Draw two cards. Then discard two cards unless you discard an artifact card.[-2]: Target artifact becomes an artifact creature. If it isn't a Vehicle, it has base power and toughness 4/4.[-6]: You get an emblem with ""Whenever an artifact you control becomes tapped, draw a card.""|4|"
4512,Mishra's Bauble,Artifact,0,,U,NM,8.49,Coldsnap,"{T}, Sacrifice Mishra's Bauble: Look at the top card of target player's library. Draw a card at the beginning of the next turn's upkeep."
4513,Hostile Negotiations (Extended Art),Instant,4,B,R,NM,2.49,The Brothers' War Variants,"Exile the top three cards of your library in a face-down pile, then exile the top three cards of your library in another face-down pile. Look at the cards in each pile, then turn a pile of your choice face up. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard. You lose 3 life."
4514,Steel Leaf Champion,5/4  Creature - Elf Knight,3,GGG,R,NM,2.49,Dominaria,Steel Leaf Champion can't be blocked by creatures with power 2 or less.
4515,Mind Stone (245),Artifact,2,,U,NM,0.59,"Universes Beyond: Warhammer 40,000","{T}: Add {C}.{1}, {T}, Sacrifice Mind Stone: Draw a card."
4516,Hagra Mauling,Instant,4,BB,R,NM,1.49,Zendikar Rising,This spell costs {1} less to cast if an opponent controls no basic lands.Destroy target creature.Hagra BroodpitLandHagra Broodpit enters the battlefield tapped.{T}: Add {B}.
4517,Arctic Treeline,Snow Land - Forest Plains,0,,C,NM,0.99,Kaldheim,Arctic Treeline enters the battlefield tapped.
4518,Worn Powerstone,Artifact,3,,U,NM,0.99,"Universes Beyond: Warhammer 40,000",Worn Powerstone enters the battlefield tapped.{T}: Add {C}{C}.
4519,Oriq Loremage,3/3  Creature - Human Warlock,4,BB,R,NM,1.29,Strixhaven: School of Mages,"{T}: Search your library for a card, put it into your graveyard, then shuffle. If it's an instant or sorcery card, put a +1/+1 counter on Oriq Loremage."
